ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,-1
Basic Problems B,Basic Problem B-02,-1
Basic Problems B,Basic Problem B-03,-1
Basic Problems B,Basic Problem B-04,-1
Basic Problems B,Basic Problem B-05,-1
Basic Problems B,Basic Problem B-06,-1
Basic Problems B,Basic Problem B-07,-1
Basic Problems B,Basic Problem B-08,-1
Basic Problems B,Basic Problem B-09,-1
Basic Problems B,Basic Problem B-10,-1
Basic Problems B,Basic Problem B-11,-1
Basic Problems B,Basic Problem B-12,-1
Basic Problems C,Basic Problem C-01,-1
Basic Problems C,Basic Problem C-02,-1
Basic Problems C,Basic Problem C-03,-1
Basic Problems C,Basic Problem C-04,-1
Basic Problems C,Basic Problem C-05,-1
Basic Problems C,Basic Problem C-06,-1
Basic Problems C,Basic Problem C-07,-1
Basic Problems C,Basic Problem C-08,-1
Basic Problems C,Basic Problem C-09,-1
Basic Problems C,Basic Problem C-10,-1
Basic Problems C,Basic Problem C-11,-1
Basic Problems C,Basic Problem C-12,-1
Challenge Problems B,Challenge Problem B-01,-1
Challenge Problems B,Challenge Problem B-02,-1
Challenge Problems B,Challenge Problem B-03,-1
Challenge Problems B,Challenge Problem B-04,-1
Challenge Problems B,Challenge Problem B-05,-1
Challenge Problems B,Challenge Problem B-06,-1
Challenge Problems B,Challenge Problem B-07,-1
Challenge Problems B,Challenge Problem B-08,-1
Challenge Problems B,Challenge Problem B-09,-1
Challenge Problems B,Challenge Problem B-10,-1
Challenge Problems B,Challenge Problem B-11,-1
Challenge Problems B,Challenge Problem B-12,-1
Challenge Problems C,Challenge Problem C-01,-1
Challenge Problems C,Challenge Problem C-02,-1
Challenge Problems C,Challenge Problem C-03,-1
Challenge Problems C,Challenge Problem C-04,-1
Challenge Problems C,Challenge Problem C-05,-1
Challenge Problems C,Challenge Problem C-06,-1
Challenge Problems C,Challenge Problem C-07,-1
Challenge Problems C,Challenge Problem C-08,-1
Challenge Problems C,Challenge Problem C-09,-1
Challenge Problems C,Challenge Problem C-10,-1
Challenge Problems C,Challenge Problem C-11,-1
Challenge Problems C,Challenge Problem C-12,-1
