ProblemSet,RavensProblem,Agent's Answer
Basic Problems D,Basic Problem D-01,1
Basic Problems D,Basic Problem D-02,1
Basic Problems D,Basic Problem D-03,3
Basic Problems D,Basic Problem D-04,1
Basic Problems D,Basic Problem D-05,7
Basic Problems D,Basic Problem D-06,2
Basic Problems D,Basic Problem D-07,-1
Basic Problems D,Basic Problem D-08,1
Basic Problems D,Basic Problem D-09,-1
Basic Problems D,Basic Problem D-10,-1
Basic Problems D,Basic Problem D-11,3
Basic Problems D,Basic Problem D-12,2
Basic Problems E,Basic Problem E-01,1
Basic Problems E,Basic Problem E-02,7
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,8
Basic Problems E,Basic Problem E-05,2
Basic Problems E,Basic Problem E-06,-1
Basic Problems E,Basic Problem E-07,1
Basic Problems E,Basic Problem E-08,-1
Basic Problems E,Basic Problem E-09,-1
Basic Problems E,Basic Problem E-10,8
Basic Problems E,Basic Problem E-11,-1
Basic Problems E,Basic Problem E-12,3
