ProblemSet,RavensProblem,Agent's Answer
Basic Problems C,Basic Problem C-01,1
Basic Problems C,Basic Problem C-02,1
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,3
Basic Problems C,Basic Problem C-06,1
Basic Problems C,Basic Problem C-07,3
Basic Problems C,Basic Problem C-08,-1
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,1
Basic Problems C,Basic Problem C-11,3
Basic Problems C,Basic Problem C-12,1
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,5
Basic Problems B,Basic Problem B-10,1
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
